,score,trophy_level,accuracy,speed,final_score,negative_score,correct_answers,incorrect_answers,better_than,total_questions,mistakes_corrected,initial_mistake_count,rank
count,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
mean,60.285714285714285,2.2142857142857144,72.21428571428571,95.07142857142857,54.42857142857143,5.857142857142857,15.071428571428571,5.857142857142857,160.0,55.5,2.857142857142857,8.714285714285714,3131.785714285714
std,34.67525957182767,0.6992932067530679,27.904172755035347,7.216053531635458,38.14287772152386,6.948792289723033,8.668814892956917,6.948792289723033,126.35359420780546,35.015930440520705,4.45243481975602,6.46206172658864,2898.6657455449404
min,12.0,1.0,30.0,78.0,5.0,0.0,3.0,0.0,18.0,20.0,0.0,0.0,171.0
25%,36.0,2.0,44.75,91.25,24.75,1.0,9.0,1.0,55.25,23.0,0.0,3.0,1598.0
50%,46.0,2.0,87.0,100.0,37.5,3.0,11.5,3.0,133.5,48.0,0.0,8.0,2201.5
75%,88.0,3.0,95.25,100.0,88.0,8.5,22.0,8.5,246.75,97.25,3.75,13.5,4550.25
max,116.0,3.0,100.0,100.0,115.0,20.0,29.0,20.0,395.0,100.0,12.0,20.0,9140.0
